"","k_1","k_2","k_3","f_1","f_2","f_3"
"id3223",20.8965690153706,23.2402986377574,40.5495935524374,48.355751094109,53.7922631018319,54.2447435559741
"id3224",16.3932171490297,15.1550158895329,26.1514907202576,14.1803370987845,19.0875772296823,12.8223350715932
"id3225",78.4957677763693,82.6931797977107,98.7178541627078,88.4675780750417,103.157009163744,108.930668100519
"id3226",9.0656962173403,10.0486679252076,16.4481706395691,17.9135869646941,16.3201401244879,16.656148824155
"id3227",128.241895949386,116.344555470159,178.768908359505,165.609596638061,174.70991434783,173.759079111205
"id3228",20.9289736650681,21.0904563623043,40.3759751516015,23.5341086362713,24.8725981426966,22.6099168582168
"id3229",134.598976748567,129.344016107428,46.997631186616,137.65236669681,124.394608422986,109.382368569917
"id3230",2.40646948120854,3.18773814689482,11.1216680939146,8.6351768422757,8.26612770970583,6.63142120230028
"id3231",130.589774197773,125.824032382912,157.846682092011,145.916334043809,144.611774330729,135.201726103421
"id3232",50.3153617162426,49.74794127896,67.7040890836075,121.01113233979,99.7095327315487,95.2318291263191
"id3233",70.2280200448443,71.8105987657161,43.0331472818145,73.8802682475755,78.0993625990239,77.573351236453
"id3234",91.8192922587281,89.7970865830708,11.818697708997,86.4446384160898,80.0900029671888,88.014670011334
"id3235",50.4599260689997,54.4178268434743,60.758156347842,44.3771337494977,44.758671091796,35.9861621248409
"id3236",38.797280586037,38.9021917848123,41.0433118248487,43.1810959570625,44.9714887759938,42.8789914759729
"id3237",39.92465579039,41.37902223069,16.4165982996417,31.7672786177848,33.7210249319609,32.3763960557728
"id3238",110.908975211645,105.052371636198,83.5345759324445,40.0977775394683,41.4345810378975,37.1963233608379
"id3239",207.905587236879,212.613698219024,164.257587088206,172.103076096962,168.290766625081,154.230233714248
"id3240",27.8325561776374,27.1145120836166,34.3013646539118,26.7190930772415,28.4442765800494,28.993458684221
"id3241",321.927675130088,361.868390390216,145.099130996283,638.736123697239,656.064317138067,696.101703178068
"id3242",16.2579813536353,13.621765816821,28.1786258912796,17.0540309160243,15.8292122306698,15.6344769685824
"id3243",13.4272352536497,13.7009475816716,11.6320366423263,14.9991492147248,15.5776369962435,12.6764992396328
"id3244",0.580125264406302,1.10011823574644,1.75835936463833,0.376361686697191,0.429846851270346,0.351296851276526
"id3245",26.0178827385692,25.9589167078564,1.59855591163265,8.10688374014576,7.21649726823871,5.65266320761784
"id3246",14.030058238068,13.671244503558,8.05592908833115,11.019409888028,11.1502847526729,9.04020746054771
"id3247",15.5068601190233,15.7349887701678,21.3089850242527,18.3554898848292,22.5478276278021,21.3339493589463
"id3248",8.69271909349865,10.848709830054,7.8225073119367,19.9872266037107,21.7842936830518,20.1858046858064
"id3249",42.5471035738548,40.7241180799378,29.6059760345153,19.699926784408,20.587439592813,19.9720177325483
"id3250",83.0145274443385,77.0188800515113,76.1452115093203,45.3769007500323,42.1804794001312,36.9736408891723
"id3251",48.8921874496891,42.7614915468543,35.0597295615776,39.0631324107511,41.6826304130309,40.5331634727614
"id3252",2.41870370547626,2.87289639481373,3.46844255789808,6.69393533277887,6.47910248013473,5.78106653399665
"id3253",10.9036877282435,12.5309157318257,22.1310747618272,11.5792503608369,12.5463755414713,11.3485034541687
"id3254",297.835040398901,288.261090490999,184.280519797426,276.381799845294,269.681163312225,284.275224263643
"id3255",81.6166321206547,74.3751140375393,64.5118749319033,47.8655617011216,46.1076540872845,49.2286078641524
"id3256",27.8641185118566,27.212861021305,30.6808067616695,18.6370951160975,19.3012578857953,17.0964467621243
"id3257",13.8089873335039,14.8045584168897,3.29582105011845,11.8242641503328,13.2469732031147,12.0314246839996
"id3258",3.76629684977878,4.32810860821639,5.01147590271057,1.89543354919289,2.62714946159903,2.11953899407483
"id3259",15.2196754094362,12.9919082570985,27.8763288027456,33.3349840010995,39.1049557702737,35.1410752985984
"id3260",52.0686200430247,50.0414929880776,149.247843679398,57.245846519386,55.6441278971408,65.1206459865503
"id3261",127.86358343756,130.187685775471,50.4732170737391,122.25226916883,131.485799423428,134.291307998206
"id3262",71.2465706101252,73.1557779049717,105.00052254423,78.918821232489,79.8258364980537,80.7657577906037
"id3263",549.270937469435,507.314913140431,827.201404674783,571.533392034617,588.81590988113,548.212409647757
"id3264",173.991722947256,185.792851995234,114.540273982439,188.929272138428,205.906069342074,214.30857123808
"id3265",64.9000636422941,62.5403465543907,71.2737086671687,50.8848841283075,52.1112548798996,52.1975890206106
"id3266",37.2458043807512,35.3764603302566,31.042481548002,43.9938227317115,48.3449453193679,46.0305598266307
"id3267",10.4256481200652,10.2991221703774,18.874988149621,12.4263998884506,10.2656990652351,10.5710854025348
"id3268",79.7706744150601,74.6064198485192,30.5517949906132,14.1968105387227,11.9732778930193,11.5115015605567
"id3269",98.3978104512397,97.5561224759582,122.37522802423,166.106430549974,158.909806322078,160.09273385808
"id3270",445.525734638216,445.441182280008,289.839134557863,526.55829756055,614.970947716807,598.022138714981
"id3271",17.9012976786057,18.7795947653634,43.3964384401189,21.4156373733963,21.3172396353329,19.0375280538938
"id3272",465.070602876412,441.332432419427,169.099765500736,269.887444877276,272.085613618609,236.759883948206
"id3273",11.8845636603519,14.2420749777843,15.1620715660076,11.4244828200531,10.21372084212,8.58609525680101
"id3274",69.8303875823057,68.3201125217428,8.21388848222,35.5454208346255,37.0869919467066,36.3760728769658
