"","GSM15965","GSM15966","GSM15967","GSM15968","GSM15969","GSM15970"
"33846_at",42.7,43.5,120.9,189.8,146.2,207.7
"33847_s_at",937,1297.6,669.9,665.4,859.2,322.6
"33848_r_at",452.9,471.9,176.2,317.8,276.2,47.2
"33849_at",881,1139.7,510.1,411.4,148.1,98.2
"33850_at",1462.4,1727.4,2412,1867.6,470.4,1932.7
"33851_at",115,98.5,104.5,780.8,439,152.1
"33852_at",836.5,708,602.6,530,436.8,29.9
"33853_s_at",125.6,64.6,153,176.6,208.4,159.9
"33854_at",727,691.2,724.5,565.6,899.8,315.2
"33855_at",1205.2,1551.2,1199.8,1081.6,1097,1024.8
"33856_at",6852.9,6519.3,9451.9,4944.2,2900.2,4755.1
"33857_at",1208.1,897.1,653.4,1808.9,670.1,818.4
"33858_at",145.4,63.2,75.5,59.3,53.9,48.1
